id,lat,lng,start_date,end_date,size,cloudcover,satellite,station,downloaded_path
137,48.2775,-121.8359,20140322,20140918,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/047026/2014-07-29/LC08/1;/mnt/d/ProjectData/Landsat/Images/046026/2014-08-07/LC08/6;/mnt/d/ProjectData/Landsat/Images/046027/2014-08-07/LC08/8;/mnt/d/ProjectData/Landsat/Images/046027/2014-08-23/LC08/10;/mnt/d/ProjectData/Landsat/Images/047026/2014-09-15/LC08/0;
138,27.2879,88.2579,20110623,20111220,Large,10,LC8,ALL,NODATA
139,1.8362,-76.9857,20141221,20150619,Large,10,LC8,ALL,NODATA
140,46.3029,-67.5221,20120627,20121224,Large,10,LC8,ALL,NODATA
141,26.0765,68.5034,20110811,20120207,Large,10,LC8,ALL,NODATA
142,38.7175,141.0151,20080614,20081211,Large,10,LC8,ALL,NODATA
143,1.6818,-77.7319,20140214,20140813,Large,10,LC8,ALL,NODATA
144,5.4958,-75.0144,20111215,20120612,Large,10,LC8,ALL,NODATA
145,26.8016,88.0499,20121001,20130330,Large,10,LC8,ALL,NODATA
146,39.1652,-107.8476,20140525,20141121,Very_large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/035033/2014-06-07/LC08/8;/mnt/d/ProjectData/Landsat/Images/035033/2014-08-10/LC08/8;/mnt/d/ProjectData/Landsat/Images/035033/2014-09-11/LC08/1;/mnt/d/ProjectData/Landsat/Images/035033/2014-10-29/LC08/0;
147,19.2078,98.7884,20110929,20120327,Large,10,LC8,ALL,NODATA
148,10.7901,-61.2984,20111225,20120622,Large,10,LC8,ALL,NODATA
149,7.2,126.046,20090518,20091114,Large,10,LC8,ALL,NODATA
150,-2.9591,-79.6754,20130124,20130723,Large,10,LC8,ALL,NODATA
151,37.9107,69.0971,20140412,20141009,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/154034/2014-04-22/LC08/9;/mnt/d/ProjectData/Landsat/Images/154034/2014-05-24/LC08/1;/mnt/d/ProjectData/Landsat/Images/154034/2014-06-09/LC08/0;/mnt/d/ProjectData/Landsat/Images/154033/2014-06-25/LC08/2;/mnt/d/ProjectData/Landsat/Images/154034/2014-06-25/LC08/0;/mnt/d/ProjectData/Landsat/Images/154033/2014-07-11/LC08/8;/mnt/d/ProjectData/Landsat/Images/154034/2014-07-11/LC08/0;/mnt/d/ProjectData/Landsat/Images/153034/2014-07-20/LC08/0;/mnt/d/ProjectData/Landsat/Images/154033/2014-07-27/LC08/0;/mnt/d/ProjectData/Landsat/Images/154034/2014-07-27/LC08/0;/mnt/d/ProjectData/Landsat/Images/153034/2014-08-05/LC08/0;/mnt/d/ProjectData/Landsat/Images/154033/2014-08-12/LC08/1;/mnt/d/ProjectData/Landsat/Images/154034/2014-08-12/LC08/0;/mnt/d/ProjectData/Landsat/Images/153034/2014-08-21/LC08/0;/mnt/d/ProjectData/Landsat/Images/154033/2014-08-28/LC08/2;/mnt/d/ProjectData/Landsat/Images/154034/2014-08-28/LC08/0;/mnt/d/ProjectData/Landsat/Images/153034/2014-09-06/LC08/0;/mnt/d/ProjectData/Landsat/Images/154033/2014-09-13/LC08/0;/mnt/d/ProjectData/Landsat/Images/154034/2014-09-13/LC08/0;/mnt/d/ProjectData/Landsat/Images/153034/2014-09-22/LC08/0;
152,14.9489,108.3564,20131113,20140512,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/124050/2014-03-03/LC08/1;/mnt/d/ProjectData/Landsat/Images/124050/2014-03-19/LC08/2;
153,5.0343,-75.3723,20110413,20111010,Large,10,LC8,ALL,NODATA
154,29.5248,103.3545,20100407,20101004,Large,10,LC8,ALL,NODATA
155,-7.2337,109.0605,20130206,20130805,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/120065/2013-06-24/LC08/2;
156,27.9911,82.3018,20140817,20150213,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/143041/2014-10-02/LC08/3;/mnt/d/ProjectData/Landsat/Images/143041/2014-10-18/LC08/0;/mnt/d/ProjectData/Landsat/Images/143040/2014-11-03/LC08/7;/mnt/d/ProjectData/Landsat/Images/143041/2014-11-03/LC08/0;/mnt/d/ProjectData/Landsat/Images/143040/2014-11-19/LC08/5;/mnt/d/ProjectData/Landsat/Images/143041/2014-11-19/LC08/0;/mnt/d/ProjectData/Landsat/Images/143040/2014-12-05/LC08/3;
157,40.1192,-105.3896,20130912,20140311,Very_large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/034032/2013-09-17/LC08/6;/mnt/d/ProjectData/Landsat/Images/033032/2013-09-26/LC08/0;/mnt/d/ProjectData/Landsat/Images/033032/2013-11-13/LC08/4;/mnt/d/ProjectData/Landsat/Images/033032/2013-12-31/LC08/2;/mnt/d/ProjectData/Landsat/Images/034032/2014-01-23/LC08/1;/mnt/d/ProjectData/Landsat/Images/033032/2014-03-05/LC08/2;
158,13.3111,109.2154,20101109,20110508,Large,10,LC8,ALL,NODATA
159,8.2922,98.9153,20110329,20110925,Large,10,LC8,ALL,NODATA
160,32.1632,108.8829,20100718,20110114,Large,10,LC8,ALL,NODATA
161,3.1477,101.8258,20110521,20111117,Large,10,LC8,ALL,NODATA
162,1.0835,35.4707,20121229,20130627,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/169059/2013-05-14/LC08/3;/mnt/d/ProjectData/Landsat/Images/169059/2013-05-30/LC08/0;
163,31.0667,103.4833,20080517,20081113,Large,10,LC8,ALL,NODATA
164,4.7735,96.9967,20130702,20131229,Large,10,LC8,ALL,NODATA
165,0.4695,35.6128,20121229,20130627,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/169060/2013-05-14/LC08/4;/mnt/d/ProjectData/Landsat/Images/169060/2013-05-30/LC08/0;
166,23.1749,120.2974,20090810,20100206,Large,10,LC8,ALL,NODATA
167,31.07,103.49,20080701,20081228,Large,10,LC8,ALL,NODATA
168,22.6205,91.6591,20130130,20130729,Large,10,LC8,ALL,NODATA
169,42.9744,-124.01,20120502,20121029,Large,10,LC8,ALL,NODATA
170,8.3886,123.1689,20140113,20140712,Large,10,LC8,ALL,NODATA
171,37.0133,70.3589,20140502,20141029,Extra Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/152034/2014-05-26/LC08/4;/mnt/d/ProjectData/Landsat/Images/153034/2014-07-20/LC08/0;/mnt/d/ProjectData/Landsat/Images/153034/2014-08-05/LC08/0;/mnt/d/ProjectData/Landsat/Images/152034/2014-08-14/LC08/9;/mnt/d/ProjectData/Landsat/Images/153034/2014-08-21/LC08/0;/mnt/d/ProjectData/Landsat/Images/153034/2014-09-06/LC08/0;/mnt/d/ProjectData/Landsat/Images/152034/2014-09-15/LC08/0;/mnt/d/ProjectData/Landsat/Images/153034/2014-09-22/LC08/0;/mnt/d/ProjectData/Landsat/Images/152034/2014-10-01/LC08/1;/mnt/d/ProjectData/Landsat/Images/152034/2014-10-17/LC08/3;/mnt/d/ProjectData/Landsat/Images/153034/2014-10-24/LC08/0;
172,23.8396,120.9876,20120610,20121207,Large,10,LC8,ALL,NODATA
